EXPECTED_CATEGORY,DETECTED_CATEGORY,MENU_ITEM,DETECTED_CARD_TITLE,COPY_CONTENT,UAT_DESCRIPTION,CONTENT_STATUS,NUTRITION_MISMATCH,NUTRITION_INFO_STATUS,NUTRITION_SCREENSHOT,SCREENSHOT
BREAKFAST TRAYS,BREAKFAST TRAYS,PANCAKES TRAY,PANCAKES TRAY,Pancakes tray serves up to 10 people.‍,"Pancakes tray serves up to 10 people.

‍",MATCH,,MATCH,./output/catering/screenshots/nutrition/PANCAKES_TRAY_nutrition.png,./output/catering/screenshots/front/PANCAKES_TRAY.png
BREAKFAST TRAYS,BREAKFAST TRAYS,WAFFLES TRAY,WAFFLES TRAY,Waffles tray serves up to 10 people. Waffles are served in quarters.,Waffles tray serves up to 10 people. Waffles are served in quarters.,MATCH,,MATCH,./output/catering/screenshots/nutrition/WAFFLES_TRAY_nutrition.png,./output/catering/screenshots/front/WAFFLES_TRAY.png
BREAKFAST TRAYS,BREAKFAST TRAYS,FRENCH TOAST TRAY,FRENCH TOAST TRAY,"French Toast tray is srved in halfs, and serves up to 10 people.","French Toast tray is srved in halfs, and serves up to 10 people.",MATCH,,MATCH,./output/catering/screenshots/nutrition/FRENCH_TOAST_TRAY_nutrition.png,./output/catering/screenshots/front/FRENCH_TOAST_TRAY.png
BREAKFAST TRAYS,BREAKFAST TRAYS,PARFAITS,PARFAITS,"Vanilla yogurt layered with granola, strawberries and blueberries. Tray serves 10 people and has 10 individual cups.","Vanilla yogurt layered with granola, strawberries and blueberries. Tray serves 10 people and has 10 individual cups.",MATCH,,MATCH,./output/catering/screenshots/nutrition/PARFAITS_nutrition.png,./output/catering/screenshots/front/PARFAITS.png
BREAKFAST TRAYS,BREAKFAST TRAYS,FRUIT TRAY,FRUIT TRAY,A medley of seasonal fruit. Tray serves up to 10 people.,A medley of seasonal fruit. Tray serves up to 10 people.,MATCH,,MATCH,./output/catering/screenshots/nutrition/FRUIT_TRAY_nutrition.png,./output/catering/screenshots/front/FRUIT_TRAY.png
SANDWICHES & WRAPS,SANDWICHES & WRAPS,Turkey Wrap,TURKEY WRAP,"Sliced turkey breast, Jack cheese, lettuce, tomato and avocado wrapped in a spinach tortilla. Small and large box options available.","Sliced turkey breast, Jack cheese, lettuce, tomato and avocado wrapped in a spinach tortilla. Small and large box options available.",MATCH,,VARIANT_MATCH -> Turkey Wrap (1/2),./output/catering/screenshots/nutrition/Turkey_Wrap_nutrition.png,./output/catering/screenshots/front/Turkey_Wrap.png
SANDWICHES & WRAPS,SANDWICHES & WRAPS,TURKEY CROISSANT SANDWICH,TURKEY CROISSANT SANDWICH,"Butter croissant filled with sliced turkey breast, applewood smoked bacon, Jack cheese, avocado, lettuce and tomato. Served with mayonnaise and Dijon mustard on the side. Small and large box options available.","Butter croissant filled with sliced turkey breast, applewood smoked bacon, Jack cheese, avocado, lettuce and tomato. Served with mayonnaise and Dijon mustard on the side. Small and large box options available.",MATCH,,MATCH,./output/catering/screenshots/nutrition/TURKEY_CROISSANT_SANDWICH_nutrition.png,./output/catering/screenshots/front/TURKEY_CROISSANT_SANDWICH.png
SANDWICHES & WRAPS,SANDWICHES & WRAPS,Monte Cristo,MONTE CRISTO,Grilled brioche French toast sandwich with sliced ham and Swiss cheese. Served with raspberry sauce. Small and large box options available.,Grilled brioche French toast sandwich with sliced ham and Swiss cheese. Served with raspberry sauce. Small and large box options available.,MATCH,,MATCH,./output/catering/screenshots/nutrition/Monte_Cristo_nutrition.png,./output/catering/screenshots/front/Monte_Cristo.png
SANDWICHES & WRAPS,SANDWICHES & WRAPS,Breakfast Croissant Sandwich,BREAKFAST CROISSANT SANDWICH,"Two eggs scrambled with cheddar cheese and choice of bacon, ham or sausage patty. Served with chipotle mayo on the side. Small and larhe box options available.","Two eggs scrambled with cheddar cheese and choice of bacon, ham or sausage patty. Served with chipotle mayo on the side. Small and larhe box options available.",MATCH,,MATCH,./output/catering/screenshots/nutrition/Breakfast_Croissant_Sandwich_nutrition.png,./output/catering/screenshots/front/Breakfast_Croissant_Sandwich.png
SALADS,SALADS,Caesar Salad,CAESAR SALAD,"Romaine lettuce, tomato, parmesan cheese and croutons. Served with Caesar dressing. Small and large box options available.","Romaine lettuce, tomato, parmesan cheese and croutons. Served with Caesar dressing. Small and large box options available.",MATCH,,"VARIANT_MATCH -> Caesar Salad (Half, no dressing)",./output/catering/screenshots/nutrition/Caesar_Salad_nutrition.png,./output/catering/screenshots/front/Caesar_Salad.png
SALADS,SALADS,Very Berry Salad,VERY BERRY SALAD,"Mixed greens, strawberries, blueberries, sliced almonds and goat cheese. Served with fat-free raspberry vinaigrette. Small and large box options available.","Mixed greens, strawberries, blueberries, sliced almonds and goat cheese. Served with fat-free raspberry vinaigrette. Small and large box options available.",MATCH,,VARIANT_MATCH -> Very Berry Salad (incl. raspberry vinaigrette),./output/catering/screenshots/nutrition/Very_Berry_Salad_nutrition.png,./output/catering/screenshots/front/Very_Berry_Salad.png
SALADS,SALADS,Greek Salad,GREEK SALAD,"Romaine lettuce, tomato, kalamata olives, red onion, red and green bell pepper and feta cheese. Served with balsamic vinaigrette. Small and large box options available.","Romaine lettuce, tomato, kalamata olives, red onion, red and green bell pepper and feta cheese. Served with balsamic vinaigrette. Small and large box options available.",MATCH,,VARIANT_MATCH -> Greek Salad (incl. balsamic vinaigrette),./output/catering/screenshots/nutrition/Greek_Salad_nutrition.png,./output/catering/screenshots/front/Greek_Salad.png
BEVERAGES,BEVERAGES,COFFEE TRAVELER,COFFEE TRAVELER,Our 96oz coffee traveler serves 12 - 8oz cups. Cream and sweeteners provided.‍,"Our 96oz coffee traveler serves 12 - 8oz cups. Cream and sweeteners provided.

‍",MATCH,,VARIANT_MATCH -> Coffee,./output/catering/screenshots/nutrition/COFFEE_TRAVELER_nutrition.png,./output/catering/screenshots/front/COFFEE_TRAVELER.png
BEVERAGES,BEVERAGES,COFFEE TRAVELER - DECAF,COFFEE TRAVELER - DECAF,Our 96oz coffee traveler serves 12 - 8oz cups. Cream and sweeteners provided.,Our 96oz coffee traveler serves 12 - 8oz cups. Cream and sweeteners provided.,MATCH,,VARIANT_MATCH -> Coffee,./output/catering/screenshots/nutrition/COFFEE_TRAVELER_DECAF_nutrition.png,./output/catering/screenshots/front/COFFEE_TRAVELER_DECAF.png
BEVERAGES,BEVERAGES,HOT CHOCOLATE TRAVELER,HOT CHOCOLATE TRAVELER,Our 96oz hot chocolate traveler serves 12 - 8oz cups.‍,"Our 96oz hot chocolate traveler serves 12 - 8oz cups.

‍",MATCH,,VARIANT_MATCH -> Hot Chocolate,./output/catering/screenshots/nutrition/HOT_CHOCOLATE_TRAVELER_nutrition.png,./output/catering/screenshots/front/HOT_CHOCOLATE_TRAVELER.png
BEVERAGES,BEVERAGES,GALLON ORANGE JUICE,GALLON ORANGE JUICE,1 gallon of our fresh orange juice serves 16 - 8oz cups.‍,"1 gallon of our fresh orange juice serves 16 - 8oz cups.

‍",MATCH,,MATCH,./output/catering/screenshots/nutrition/GALLON_ORANGE_JUICE_nutrition.png,./output/catering/screenshots/front/GALLON_ORANGE_JUICE.png
