EXPECTED_CATEGORY,DETECTED_CATEGORY,MENU_ITEM,DETECTED_CARD_TITLE,COPY_CONTENT,UAT_DESCRIPTION,CONTENT_STATUS,NUTRITION_MISMATCH,NUTRITION_INFO_STATUS,NUTRITION_SCREENSHOT,SCREENSHOT
OMELETS & BENEDICTS,OMELETS & BENEDICTS,Sope Benedict,SOPE BENEDICT,"Fried sopes with shredded beef, poached eggs, ranchero sauce, avocado, Cotija cheese, salsa fresca, cilantro and sour cream.","Fried sopes with shredded beef, poached eggs, ranchero sauce, avocado, Cotija cheese, salsa fresca, cilantro and sour cream.",MATCH,,MATCH,./output/main-menu/screenshots/nutrition/Sope_Benedict_nutrition.png,./output/main-menu/screenshots/front/Sope_Benedict.png
South of the Border,SOUTH OF THE BORDER,Machaca,MACHACA,"Scrambled eggs with beef barbacoa, onion, bell pepper and tomato. Served with Mexican rice, refried beans and salsa fresca.","Scrambled eggs with beef barbacoa, onion, bell pepper and tomato. Served with Mexican rice, refried beans and salsa fresca.",MATCH,,VARIANT_MATCH -> Machaca (no tortillas),./output/main-menu/screenshots/nutrition/Machaca_nutrition.png,./output/main-menu/screenshots/front/Machaca.png
South of the Border,SOUTH OF THE BORDER,Huevos Rancheros,HUEVOS RANCHEROS,"Eggs over-medium with our housemade ranchero sauce on a corn tortilla. Served with Mexican rice, refried beans, and fresh guacamole.","Eggs over-medium with our housemade ranchero sauce on a corn tortilla. Served with Mexican rice, refried beans, and fresh guacamole.",MATCH,,VARIANT_MATCH -> Huevos Rancheros (no tortillas),./output/main-menu/screenshots/nutrition/Huevos_Rancheros_nutrition.png,./output/main-menu/screenshots/front/Huevos_Rancheros.png
South of the Border,SOUTH OF THE BORDER,Huevos Con Chorizo,HUEVOS CON CHORIZO,"Eggs scrambled with chorizo. Served with Mexican rice, refried beans and salsa fresca.","Eggs scrambled with chorizo. Served with Mexican rice, refried beans and salsa fresca.",MATCH,,VARIANT_MATCH -> Huevos Con Chorizo (no tortillas),./output/main-menu/screenshots/nutrition/Huevos_Con_Chorizo_nutrition.png,./output/main-menu/screenshots/front/Huevos_Con_Chorizo.png
South of the Border,SOUTH OF THE BORDER,Chilaquiles Bowl,CHILAQUILES BOWL,"Corn tortilla chips sauteed with red or green sauce, topped with two eggs, Jack cheese, red onion, cilantro and sour cream. Choice of shredded chicken, carne asada, or beef barbacoa.","Corn tortilla chips sauteed with red or green sauce, topped with two eggs, Jack cheese, red onion, cilantro and sour cream. Choice of shredded chicken, carne asada, or beef barbacoa.",MATCH,,VARIANT_MATCH -> Chilaquiles Bowl Red Sauce & Carne Asada,./output/main-menu/screenshots/nutrition/Chilaquiles_Bowl_nutrition.png,./output/main-menu/screenshots/front/Chilaquiles_Bowl.png
South of the Border,SOUTH OF THE BORDER,Cali Breakfast Burrito,CALI BREAKFAST BURRITO,"Scrambled eggs, applewood-smoked bacon, cheddar cheese, home fries, and avocado in a flour tortilla. Served with Mexican rice, refried beans, salsa verde and salsa fresca.","Scrambled eggs, applewood-smoked bacon, cheddar cheese, home fries, and avocado in a flour tortilla. Served with Mexican rice, refried beans, salsa verde and salsa fresca.",MATCH,,MATCH,./output/main-menu/screenshots/nutrition/Cali_Breakfast_Burrito_nutrition.png,./output/main-menu/screenshots/front/Cali_Breakfast_Burrito.png
South of the Border,SOUTH OF THE BORDER,Fiesta Burrito,FIESTA BURRITO,"Scrambled eggs, beef barbacoa, onion, bell pepper, tomato, and cheddar cheese in a flour tortilla. Topped with salsa verde, avocado, salsa fresca, sour cream and cilantro.","Scrambled eggs, beef barbacoa, onion, bell pepper, tomato, and cheddar cheese in a flour tortilla. Topped with salsa verde, avocado, salsa fresca, sour cream and cilantro.",MATCH,,MATCH,./output/main-menu/screenshots/nutrition/Fiesta_Burrito_nutrition.png,./output/main-menu/screenshots/front/Fiesta_Burrito.png
PANCAKES & WAFFLES,PANCAKES & WAFFLES,Lemon Ricotta Pancakes,LEMON RICOTTA PANCAKES,"Rich and fluffy, with creamy ricotta & tangy lemon, topped with fresh blueberries, lemon zest and powdered sugar.","Rich and fluffy, with creamy ricotta & tangy lemon, topped with fresh blueberries, lemon zest and powdered sugar.",MATCH,,NOT_FOUND,./output/main-menu/screenshots/nutrition/Lemon_Ricotta_Pancakes_nutrition.png,./output/main-menu/screenshots/front/Lemon_Ricotta_Pancakes.png
PANCAKES & WAFFLES,PANCAKES & WAFFLES,Gluten Free Pancakes,GLUTEN FREE PANCAKES,"Fluffy, golden, gluten free buttermilk pancakes with a light, airy texture. Served with whipped butter and made to order.","Fluffy, golden, gluten free buttermilk pancakes with a light, airy texture. Served with whipped butter and made to order.",MATCH,"Trans Fat (g): INPUT=0,5 | UAT=1",VARIANT_MISMATCH -> Gluten Free Pancakes (Short Stack),./output/main-menu/screenshots/nutrition/Gluten_Free_Pancakes_nutrition.png,./output/main-menu/screenshots/front/Gluten_Free_Pancakes.png
PANCAKES & WAFFLES,PANCAKES & WAFFLES,Buttermilk Pancakes,BUTTERMILK PANCAKES,"Fluffy, golden buttermilk pancakes with a light, airy texture. Served with whipped butter and made to order.","Fluffy, golden buttermilk pancakes with a light, airy texture. Served with whipped butter and made to order.",MATCH,"Trans Fat (g): INPUT=0,5 | UAT=1",VARIANT_MISMATCH -> Buttermilk Pancakes (Short Stack),./output/main-menu/screenshots/nutrition/Buttermilk_Pancakes_nutrition.png,./output/main-menu/screenshots/front/Buttermilk_Pancakes.png
PANCAKES & WAFFLES,PANCAKES & WAFFLES,Chocolate Chip Pancakes,CHOCOLATE CHIP PANCAKES,"Fluffy, golden buttermilk pancakes with baked-in chocolate chips. Topped with more chocolate chips and made to order.","Fluffy, golden buttermilk pancakes with baked-in chocolate chips. Topped with more chocolate chips and made to order.",MATCH,"Trans Fat (g): INPUT=0,5 | UAT=1",VARIANT_MISMATCH -> Chocolate Chip Pancakes (Short Stack),./output/main-menu/screenshots/nutrition/Chocolate_Chip_Pancakes_nutrition.png,./output/main-menu/screenshots/front/Chocolate_Chip_Pancakes.png
PANCAKES & WAFFLES,PANCAKES & WAFFLES,Blueberry Pancakes,BLUEBERRY PANCAKES,"Fluffy, golden buttermilk pancakes made using fresh, baked-in blueberries. Made to order.","Fluffy, golden buttermilk pancakes made using fresh, baked-in blueberries. Made to order.",MATCH,"Trans Fat (g): INPUT=0,5 | UAT=1",VARIANT_MISMATCH -> Blueberry Pancakes (Short Stack),./output/main-menu/screenshots/nutrition/Blueberry_Pancakes_nutrition.png,./output/main-menu/screenshots/front/Blueberry_Pancakes.png
PANCAKES & WAFFLES,PANCAKES & WAFFLES,Banana Pancakes,,"Fluffy, golden buttermilk pancakes with baked-in chocolate bananas. Topped with more bananas, powdered sugar, whipped butter, and made to order.",,MENU_MISMATCH,,NO_NUTRITIONAL_INFO,,
PANCAKES & WAFFLES,PANCAKES & WAFFLES,Belgian Waffle,BELGIAN WAFFLE,"Thick, golden Belgian waffles with a light, crispy exterior and a soft, airy interior. Served with whipped butter and made to order.","Thick, golden Belgian waffles with a light, crispy exterior and a soft, airy interior. Served with whipped butter and made to order.",MATCH,,MATCH,./output/main-menu/screenshots/nutrition/Belgian_Waffle_nutrition.png,./output/main-menu/screenshots/front/Belgian_Waffle.png
PANCAKES & WAFFLES,PANCAKES & WAFFLES,Chicken and Waffle,CHICKEN AND WAFFLE,"Belgian waffle, crispy fried chicken, powdered sugar, whipped butter.","Belgian waffle, crispy fried chicken, powdered sugar, whipped butter.",MATCH,,MATCH,./output/main-menu/screenshots/nutrition/Chicken_and_Waffle_nutrition.png,./output/main-menu/screenshots/front/Chicken_and_Waffle.png
French Toast & Crepes,FRENCH TOAST & CREPES,Sweet Trio,SWEET TRIO,"One slice of Tiki Toast, one slice of Crunchy French Toast, and one Cinna-Cake.","One slice of Tiki Toast, one slice of Crunchy French Toast, and one Cinna-Cake.",MATCH,,MATCH,./output/main-menu/screenshots/nutrition/Sweet_Trio_nutrition.png,./output/main-menu/screenshots/front/Sweet_Trio.png
French Toast & Crepes,FRENCH TOAST & CREPES,Tiki Toast™,TIKI TOAST™,"Sweet King’s Hawaiian bread topped with strawberries, blueberries, coconut, caramel sauce and powdered sugar.","Sweet King’s Hawaiian bread topped with strawberries, blueberries, coconut, caramel sauce and powdered sugar.",MATCH,,MATCH,./output/main-menu/screenshots/nutrition/Tiki_ToastTM_nutrition.png,./output/main-menu/screenshots/front/Tiki_ToastTM.png
French Toast & Crepes,FRENCH TOAST & CREPES,Crunchy French Toast,CRUNCHY FRENCH TOAST,"Brioche bread coated in cinnamon and sugar, topped with cream cheese icing, whipped cream, and extra cinnamon.","Brioche bread coated in cinnamon and sugar, topped with cream cheese icing, whipped cream, and extra cinnamon.",MATCH,,MATCH,./output/main-menu/screenshots/nutrition/Crunchy_French_Toast_nutrition.png,./output/main-menu/screenshots/front/Crunchy_French_Toast.png
French Toast & Crepes,FRENCH TOAST & CREPES,Classic French Toast,CLASSIC FRENCH TOAST,Brioche bread topped with powdered sugar and served with strawberry sauce.,Brioche bread topped with powdered sugar and served with strawberry sauce.,MATCH,,MATCH,./output/main-menu/screenshots/nutrition/Classic_French_Toast_nutrition.png,./output/main-menu/screenshots/front/Classic_French_Toast.png
French Toast & Crepes,FRENCH TOAST & CREPES,Churro French Toast,CHURRO FRENCH TOAST,"Our Classic French Toast with Cinnamon & sugar, cream cheese icing & whipped cream.","Our Classic French Toast with Cinnamon & sugar, cream cheese icing & whipped cream.",MATCH,,NOT_FOUND,./output/main-menu/screenshots/nutrition/Churro_French_Toast_nutrition.png,./output/main-menu/screenshots/front/Churro_French_Toast.png
French Toast & Crepes,FRENCH TOAST & CREPES,Nutella Crepes,NUTELLA CREPES,"Housemade crepes with Nutella, strawberries or banana, powdered sugar and whipped cream","Housemade crepes with Nutella, strawberries or banana, powdered sugar and whipped cream",MATCH,,VARIANT_MATCH -> Banana Nutella Crepes,./output/main-menu/screenshots/nutrition/Nutella_Crepes_nutrition.png,./output/main-menu/screenshots/front/Nutella_Crepes.png
LUNCH,LUNCH,Wild West Burger,WILD WEST BURGER,"Applewood-smoked bacon, onion rings, cheddar cheese, lettuce, tomato, mayo and tangy BBQ sauce.","Applewood-smoked bacon, onion rings, cheddar cheese, lettuce, tomato, mayo and tangy BBQ sauce.",MATCH,"Trans Fat (g): INPUT=1,5 | UAT=2",MISMATCH,./output/main-menu/screenshots/nutrition/Wild_West_Burger_nutrition.png,./output/main-menu/screenshots/front/Wild_West_Burger.png
LUNCH,LUNCH,Old Reliable Burger,OLD RELIABLE BURGER,"American cheese, lettuce, tomato and mayo.","American cheese, lettuce, tomato and mayo.",MATCH,"Trans Fat (g): INPUT=1,5 | UAT=2",VARIANT_MISMATCH -> Old Reliable,./output/main-menu/screenshots/nutrition/Old_Reliable_Burger_nutrition.png,./output/main-menu/screenshots/front/Old_Reliable_Burger.png
LUNCH,LUNCH,Good Morning Burger,GOOD MORNING BURGER,"Sunny side up eggs, applewood-smoked bacon, melted cheddar cheese, lettuce, tomato and mayo.","Sunny side up eggs, applewood-smoked bacon, melted cheddar cheese, lettuce, tomato and mayo.",MATCH,"Trans Fat (g): INPUT=1,5 | UAT=2",MISMATCH,./output/main-menu/screenshots/nutrition/Good_Morning_Burger_nutrition.png,./output/main-menu/screenshots/front/Good_Morning_Burger.png
LUNCH,LUNCH,Chicken Caesar Wrap,CHICKEN CAESAR WRAP,"Diced grilled chicken breast, Parmesan cheese, housemade croutons and Romaine lettuce tossed with Caesar dressing and wrapped in a spinach tortilla.","Diced grilled chicken breast, Parmesan cheese, housemade croutons and Romaine lettuce tossed with Caesar dressing and wrapped in a spinach tortilla.",MATCH,,MATCH,./output/main-menu/screenshots/nutrition/Chicken_Caesar_Wrap_nutrition.png,./output/main-menu/screenshots/front/Chicken_Caesar_Wrap.png
LUNCH,LUNCH,Crispy Chicken Sandwich,CRISPY CHICKEN SANDWICH,"Crispy fried chicken and Carolina gold BBQ sauce with shredded lettuce, sliced pickles and mayo on a grilled brioche bun.","Crispy fried chicken and Carolina gold BBQ sauce with shredded lettuce, sliced pickles and mayo on a grilled brioche bun.",MATCH,,MATCH,./output/main-menu/screenshots/nutrition/Crispy_Chicken_Sandwich_nutrition.png,./output/main-menu/screenshots/front/Crispy_Chicken_Sandwich.png
LUNCH,LUNCH,Club Sandwich,CLUB SANDWICH,"Triple-decker sandwich filled with sliced turkey, applewood-smoked bacon, lettuce, tomato and mayo on choice of toasted bread.","Triple-decker sandwich filled with sliced turkey, applewood-smoked bacon, lettuce, tomato and mayo on choice of toasted bread.",MATCH,,VARIANT_MATCH -> Club Sandwich (Whole Wheat),./output/main-menu/screenshots/nutrition/Club_Sandwich_nutrition.png,./output/main-menu/screenshots/front/Club_Sandwich.png
LUNCH,LUNCH,B.L.T.,B.L.T.,"Applewood-smoked bacon, lettuce, tomato and mayo on choice of toasted bread.","Applewood-smoked bacon, lettuce, tomato and mayo on choice of toasted bread.",MATCH,Dietary Fiber (g): INPUT=8 | UAT=6,VARIANT_MISMATCH -> B.L.T. (Whole Wheat),./output/main-menu/screenshots/nutrition/B_L_T_nutrition.png,./output/main-menu/screenshots/front/B_L_T.png
