Category,Header,Copy Content
OMELETS & BENEDICTS,Classic Eggs Benedict,"Canadian bacon, poached eggs and hollandaise on a toasted English muffin."
OMELETS & BENEDICTS,Smoked Salmon Benedict,"Smoked salmon, fresh dill, capers, arugula, poached eggs and hollandaise on a toasted English muffin."
OMELETS & BENEDICTS,Golden State Benedict,"Grilled tomato, avocado, applewood-smoked bacon and poached eggs on an English muffin with hollandaise."
OMELETS & BENEDICTS,Chicken & Waffle Benedict,"Crispy fried chicken, poached eggs and hollandaise on two Belgian waffle quarters."
OMELETS & BENEDICTS,Border Benedict,"Sweet corn cakes topped with carne asada, poached eggs, fresh jalapenos and our signature housemade poblano sauce."
OMELETS & BENEDICTS,Sope Benedict,"Fried sopes with shredded beef, poached eggs, ranchero sauce, avocado, Cotija cheese, salsa fresca, cilantro and sour cream."
South of the Border,Machaca,"Scrambled eggs with beef barbacoa, onion, bell pepper and tomato. Served with Mexican rice, refried beans and salsa fresca."
South of the Border,Huevos Rancheros,"Eggs over-medium with our housemade ranchero sauce on a corn tortilla. Served with Mexican rice, refried beans, and fresh guacamole."
South of the Border,Huevos Con Chorizo,"Eggs scrambled with chorizo. Served with Mexican rice, refried beans and salsa fresca."
South of the Border,Chilaquiles Bowl,"Corn tortilla chips sauteed with red or green sauce, topped with two eggs, Jack cheese, red onion, cilantro and sour cream. Choice of shredded chicken, carne asada, or beef barbacoa."
South of the Border,Cali Breakfast Burrito,"Scrambled eggs, applewood-smoked bacon, cheddar cheese, home fries, and avocado in a flour tortilla. Served with Mexican rice, refried beans, salsa verde and salsa fresca."
South of the Border,Fiesta Burrito,"Scrambled eggs, beef barbacoa, onion, bell pepper, tomato, and cheddar cheese in a flour tortilla. Topped with salsa verde, avocado, salsa fresca, sour cream and cilantro."
PANCAKES & WAFFLES,Lemon Ricotta Pancakes,"Rich and fluffy, with creamy ricotta & tangy lemon, topped with fresh blueberries, lemon zest and powdered sugar."
PANCAKES & WAFFLES,Gluten Free Pancakes,"Fluffy, golden, gluten free buttermilk pancakes with a light, airy texture. Served with whipped butter and made to order."
PANCAKES & WAFFLES,Buttermilk Pancakes,"Fluffy, golden buttermilk pancakes with a light, airy texture. Served with whipped butter and made to order."
PANCAKES & WAFFLES,Chocolate Chip Pancakes,"Fluffy, golden buttermilk pancakes with baked-in chocolate chips. Topped with more chocolate chips and made to order."
PANCAKES & WAFFLES,Blueberry Pancakes,"Fluffy, golden buttermilk pancakes made using fresh, baked-in blueberries. Made to order."
PANCAKES & WAFFLES,Banana Pancakes,"Fluffy, golden buttermilk pancakes with baked-in chocolate bananas. Topped with more bananas, powdered sugar, whipped butter, and made to order."
PANCAKES & WAFFLES,Belgian Waffle,"Thick, golden Belgian waffles with a light, crispy exterior and a soft, airy interior. Served with whipped butter and made to order."
PANCAKES & WAFFLES,Chicken and Waffle,"Belgian waffle, crispy fried chicken, powdered sugar, whipped butter."
French Toast & Crepes,Sweet Trio,"One slice of Tiki Toast, one slice of Crunchy French Toast, and one Cinna-Cake."
French Toast & Crepes,Tiki Toast™,"Sweet King’s Hawaiian bread topped with strawberries, blueberries, coconut, caramel sauce and powdered sugar."
French Toast & Crepes,Crunchy French Toast,"Brioche bread coated in cinnamon and sugar, topped with cream cheese icing, whipped cream, and extra cinnamon."
French Toast & Crepes,Classic French Toast,Brioche bread topped with powdered sugar and served with strawberry sauce.
French Toast & Crepes,Churro French Toast,"Our Classic French Toast with Cinnamon & sugar, cream cheese icing & whipped cream."
French Toast & Crepes,Nutella Crepes,"Housemade crepes with Nutella, strawberries or banana, powdered sugar and whipped cream"
LUNCH,Wild West Burger,"Applewood-smoked bacon, onion rings, cheddar cheese, lettuce, tomato, mayo and tangy BBQ sauce."
LUNCH,Old Reliable Burger,"American cheese, lettuce, tomato and mayo."
LUNCH,Good Morning Burger,"Sunny side up eggs, applewood-smoked bacon, melted cheddar cheese, lettuce, tomato and mayo."
LUNCH,Chicken Caesar Wrap,"Diced grilled chicken breast, Parmesan cheese, housemade croutons and Romaine lettuce tossed with Caesar dressing and wrapped in a spinach tortilla."
LUNCH,Crispy Chicken Sandwich,"Crispy fried chicken and Carolina gold BBQ sauce with shredded lettuce, sliced pickles and mayo on a grilled brioche bun."
LUNCH,Club Sandwich,"Triple-decker sandwich filled with sliced turkey, applewood-smoked bacon, lettuce, tomato and mayo on choice of toasted bread."
LUNCH,B.L.T.,"Applewood-smoked bacon, lettuce, tomato and mayo on choice of toasted bread."
LUNCH,Tuna Melt,White albacore tuna salad with Jack cheese on grilled sourdough bread.
LUNCH,"Soup, Salad, Sandwich Combo","Your choice of soup, salad, and half a sandwich."
LUNCH,Chicken Tortilla Soup,Topped with tortilla strips and cilantro.
LUNCH,House Salad,"Mixed greens, cherry tomatoes, shredded cheddar cheese, housemade croutons, choice of dressing."
LUNCH,Greek Salad,"Feta cheese, Kalamata olives, red and green bell pepper, red onion, diced tomato and Romaine lettuce with balsamic vinaigrette."
LUNCH,Very Berry Salad,"Fresh strawberries and blueberries, sliced almonds, goat cheese and mixed greens with fat-free raspberry vinaigrette."
LUNCH,Grilled Chicken Caesar Salad,"Diced grilled chicken, parmesan cheese, housemade croutons and Romaine lettuce, tossed with Caesar dressing."
BEVERAGES,Strawberry Banana Smoothie,A fruity blend of strawberries and bananas.
BEVERAGES,Blueberry Banana Smoothie,A fruity blend of blueberries and bananas.
BEVERAGES,Pomegranate Juice,"A bright and tangy superfruit juice, served chilled for a refreshing burst of flavor."
BEVERAGES,Cranberry Juice,"Crisp, tart, and brilliantly bold."
BEVERAGES,Lemonade,"Crisp and invigorating. Our lemonade is served ice-cold for a clean, citrusy finish."
BEVERAGES,"Orange, Apple, or Grapefruit Juice","A selection of our classic, fruit-forward favorites."
BEVERAGES,Soda,"A selection of crisp, bubbly favorites served ice-cold to perfectly complement your meal."
BEVERAGES,Iced Tea,"Carefully steeped for a clean, crisp finish. Served over ice with a fresh lemon wedge."
BEVERAGES,Arnold Palmer,"The ultimate duo. A refreshing, 50/50 blend of carefully-brewed iced tea and tangy lemonade."
BEVERAGES,Red Bull,A single 8.4oz can of original Red Bull energy.
BEVERAGES,Hot Tea,"A comforting, aromatic brew. Ask about our selection of herbal and caffeinated tea blends."
BEVERAGES,Hot Cocoa,Decadently creamy and served at the perfect temperature for sipping.
BEVERAGES,Milk,Served chilled in BYC's signature pilsner glass.
BEVERAGES,Mimosa Flight,"Wycliff Sparkling with orange juice, pomegranate, lemonade, and grapefruit."
BEVERAGES,Tropical Flight,"Wycliff Sparkling with mango juice, guava, pineapple, and strawberry lemonade."
BEVERAGES,Mimosa,"Wycliff Sparkling with choice of orange, cranberry, or pomegranate juice."
BEVERAGES,Bloody Mary Flight,"BYC Bloody Mary, Bloody Caesar, Bloody Maria and Red Snapper."
BEVERAGES,BYC Bloody Mary,"Wine-based vodka alternative. Bloody Mary mix, Tajin rim, bacon garnish."
BEVERAGES,Bloody Caesar,"Wine-based vodka alternative. Clamato juice, lemon juice, salt rim."
BEVERAGES,Bloody Maria,"Premium agave wine-based tequila alternative. Bloody Mary mix, Tajin rim, jalapeno garnish."
BEVERAGES,Red Snapper,"Wine-based gin alternative. Bloody Mary mix, peppered rim."
BEVERAGES,Bellini,"Wycliff Sparkling, peach and raspberry puree."
BEVERAGES,Bucket o’ Bubbles,"Wycliff Sparkling or La Marca Prosecco with two mixers: orange juice, pomegranate juice, cranberry juice, grapefruit juice, or lemonade."
BEVERAGES,Just the Bubbles,Wycliff Sparkling or La Marca Prosecco
BEVERAGES,Domestic Beer,A rotating selection of domestically brewed beers. Options vary by location and region.
BEVERAGES,Imported Beer,A rotating selection of internationally brewed beers. Options vary by location and region.
BEVERAGES,Espresso,"Made using top class Lavazza coffee beans from Torino, Italy."
BEVERAGES,Cappuccino,"Made using top class Lavazza coffee beans from Torino, Italy."
BEVERAGES,Caffe Latte,"Made using top class Lavazza coffee beans from Torino, Italy."
BEVERAGES,Mocha Latte,"Made using top class Lavazza coffee beans from Torino, Italy."
BEVERAGES,Messy Caramel Latte,Medium roast Lavazza coffee beans blended with caramel. Topped with whipped cream and a caramel drizzle.
BEVERAGES,Chai Tea Latte,A spiced tea blend combined with steamed milk (hot) or poured over ice (iced).
BEVERAGES,Matcha Green Tea Latte,Green tea matcha shaken with pineapple juice and sweet coconut milk.
BEVERAGES,Pineappple Matcha Latte,"A refreshing, dairy-free beverage featuring green tea matcha shaken with pineapple juice and coconut milk."
BEVERAGES,Coffee,"Brewed using top class Lavazza coffee beans from Torino, Italy."
BEVERAGES,Cold Brew,"Brewed using top class Lavazza coffee beans from Torino, Italy."
BEVERAGES,Red Bull Razz-Berry Rush,"Red Bull, blue raspberry syrup, fresh lime juice"
BEVERAGES,Dreamsicle,"Fresh orange juice, vanilla cream, Wycliff Sparkling, wine-based vodka alternative."
BEVERAGES,Pucker Up Lemonade,"Strawberry purée, citrus blend, Le’Cello, wine-based vodka alternative."
BEVERAGES,Pomegranate Sunrise,"Fresh orange juice, pomegranate juice, agave nectar, premium agave wine-based tequila alternative."
BEVERAGES,Red Bull-Mosa,"Red Bull Yellow Edition (Tropical), Wycliff Sparkling, orange juice."
BEVERAGES,Red Bull Watermelon Margarita,"Red Bull Red Edition (Watermelon), agave nectar, fresh lime juice, wine-based tequila alternative."
BEVERAGES,Espresso Martini,"Espresso, Espresso liqueur, Féileacán Irish Creme, wine-based vodka alternative."
